bps_nama_kabupaten_kota,bps_nama_kecamatan,total_kejadian_2019_2024,rata_rata_kejadian_tahunan,maksimum_kejadian_1_tahun,cluster_kmeans,label_kmeans,cluster_agg,label_agg,cluster_dbscan,label_dbscan
KABUPATEN BANDUNG,ARJASARI,19,3.1666666666666665,8,1,Sedang,0,Rendah,0,Rendah
KABUPATEN BANDUNG,BALEENDAH,18,3.0,3,1,Sedang,0,Rendah,0,Rendah
KABUPATEN BANDUNG,BANJARAN,63,10.5,17,2,Tinggi,1,Sedang,0,Rendah
KABUPATEN BANDUNG,BOJONGSOANG,46,7.666666666666667,11,2,Tinggi,1,Sedang,0,Rendah
KABUPATEN BANDUNG,CANGKUANG,20,3.333333333333333,5,1,Sedang,0,Rendah,0,Rendah
KABUPATEN BANDUNG,CICALENGKA,30,5.0,8,1,Sedang,1,Sedang,0,Rendah
KABUPATEN BANDUNG,CIKANCUNG,38,6.333333333333333,11,1,Sedang,1,Sedang,0,Rendah
KABUPATEN BANDUNG,CILENGKRANG,5,0.8333333333333334,3,1,Sedang,0,Rendah,0,Rendah
KABUPATEN BANDUNG,CILEUNYI,50,8.333333333333334,11,2,Tinggi,1,Sedang,0,Rendah
KABUPATEN BANDUNG,CIMAUNG,0,0.0,0,1,Sedang,0,Rendah,0,Rendah
KABUPATEN BANDUNG,CIMENYAN,0,0.0,0,1,Sedang,0,Rendah,0,Rendah
KABUPATEN BANDUNG,CIPARAY,18,3.0,4,1,Sedang,0,Rendah,0,Rendah
KABUPATEN BANDUNG,CIWIDEY,5,0.8333333333333334,3,1,Sedang,0,Rendah,0,Rendah
KABUPATEN BANDUNG,DAYEUHKOLOT,119,19.83333333333333,25,2,Tinggi,1,Sedang,0,Rendah
KABUPATEN BANDUNG,IBUN,3,0.5,2,1,Sedang,0,Rendah,0,Rendah
KABUPATEN BANDUNG,KATAPANG,121,20.166666666666668,21,2,Tinggi,1,Sedang,0,Rendah
KABUPATEN BANDUNG,KERTASARI,8,1.3333333333333333,2,1,Sedang,0,Rendah,0,Rendah
KABUPATEN BANDUNG,KUTAWARINGIN,13,2.1666666666666665,3,1,Sedang,0,Rendah,0,Rendah
KABUPATEN BANDUNG,MAJALAYA,35,5.833333333333333,10,1,Sedang,1,Sedang,0,Rendah
KABUPATEN BANDUNG,MARGAASIH,27,4.5,5,1,Sedang,0,Rendah,0,Rendah
KABUPATEN BANDUNG,MARGAHAYU,30,5.0,6,1,Sedang,1,Sedang,0,Rendah
KABUPATEN BANDUNG,NAGREG,3,0.5,2,1,Sedang,0,Rendah,0,Rendah
KABUPATEN BANDUNG,PACET,0,0.0,0,1,Sedang,0,Rendah,0,Rendah
KABUPATEN BANDUNG,PAMEUNGPEUK,18,3.0,6,1,Sedang,0,Rendah,0,Rendah
KABUPATEN BANDUNG,PANGALENGAN,12,2.0,4,1,Sedang,0,Rendah,0,Rendah
KABUPATEN BANDUNG,PASEH,56,9.333333333333334,12,2,Tinggi,1,Sedang,0,Rendah
KABUPATEN BANDUNG,PASIRJAMBU,7,1.1666666666666667,3,1,Sedang,0,Rendah,0,Rendah
KABUPATEN BANDUNG,RANCABALI,0,0.0,0,1,Sedang,0,Rendah,0,Rendah
KABUPATEN BANDUNG,RANCAEKEK,239,39.833333333333336,49,2,Tinggi,1,Sedang,-1,Noise/Outlier
KABUPATEN BANDUNG,SOLOKANJERUK,60,10.0,11,2,Tinggi,1,Sedang,0,Rendah
KABUPATEN BANDUNG,SOREANG,15,2.5,7,1,Sedang,0,Rendah,0,Rendah
KABUPATEN BANDUNG BARAT,BATUJAJAR,69,11.5,17,2,Tinggi,1,Sedang,0,Rendah
KABUPATEN BANDUNG BARAT,CIHAMPELAS,3,0.5,2,1,Sedang,0,Rendah,0,Rendah
KABUPATEN BANDUNG BARAT,CIKALONGWETAN,2,0.3333333333333333,1,1,Sedang,0,Rendah,0,Rendah
KABUPATEN BANDUNG BARAT,CILILIN,2,0.3333333333333333,2,1,Sedang,0,Rendah,0,Rendah
KABUPATEN BANDUNG BARAT,CIPATAT,13,2.1666666666666665,3,1,Sedang,0,Rendah,0,Rendah
KABUPATEN BANDUNG BARAT,CIPEUNDEUY,1,0.1666666666666666,1,1,Sedang,0,Rendah,0,Rendah
KABUPATEN BANDUNG BARAT,CIPONGKOR,7,1.1666666666666667,2,1,Sedang,0,Rendah,0,Rendah
KABUPATEN BANDUNG BARAT,CISARUA,0,0.0,0,1,Sedang,0,Rendah,0,Rendah
KABUPATEN BANDUNG BARAT,GUNUNGHALU,13,2.1666666666666665,4,1,Sedang,0,Rendah,0,Rendah
KABUPATEN BANDUNG BARAT,LEMBANG,4,0.6666666666666666,2,1,Sedang,0,Rendah,0,Rendah
KABUPATEN BANDUNG BARAT,NGAMPRAH,13,2.1666666666666665,3,1,Sedang,0,Rendah,0,Rendah
KABUPATEN BANDUNG BARAT,PADALARANG,15,2.5,4,1,Sedang,0,Rendah,0,Rendah
KABUPATEN BANDUNG BARAT,PARONGPONG,0,0.0,0,1,Sedang,0,Rendah,0,Rendah
KABUPATEN BANDUNG BARAT,RONGGA,3,0.5,2,1,Sedang,0,Rendah,0,Rendah
KABUPATEN BANDUNG BARAT,SAGULING,1,0.1666666666666666,1,1,Sedang,0,Rendah,0,Rendah
KABUPATEN BANDUNG BARAT,SINDANGKERTA,6,1.0,2,1,Sedang,0,Rendah,0,Rendah
KABUPATEN BEKASI,BABELAN,57,9.5,12,2,Tinggi,1,Sedang,0,Rendah
KABUPATEN BEKASI,BOJONGMANGU,13,2.1666666666666665,6,1,Sedang,0,Rendah,0,Rendah
KABUPATEN BEKASI,CABANGBUNGIN,32,5.333333333333333,6,1,Sedang,1,Sedang,0,Rendah
KABUPATEN BEKASI,CIBARUSAH,3,0.5,1,1,Sedang,0,Rendah,0,Rendah
KABUPATEN BEKASI,CIBITUNG,76,12.666666666666666,22,2,Tinggi,1,Sedang,0,Rendah
KABUPATEN BEKASI,CIKARANG BARAT,27,4.5,7,1,Sedang,0,Rendah,0,Rendah
KABUPATEN BEKASI,CIKARANG PUSAT,26,4.333333333333333,5,1,Sedang,0,Rendah,0,Rendah
KABUPATEN BEKASI,CIKARANG SELATAN,8,1.3333333333333333,2,1,Sedang,0,Rendah,0,Rendah
KABUPATEN BEKASI,CIKARANG TIMUR,96,16.0,34,2,Tinggi,1,Sedang,0,Rendah
KABUPATEN BEKASI,CIKARANG UTARA,78,13.0,14,2,Tinggi,1,Sedang,0,Rendah
KABUPATEN BEKASI,KARANG BAHAGIA,21,3.5,6,1,Sedang,0,Rendah,0,Rendah
KABUPATEN BEKASI,KEDUNG WARINGIN,44,7.333333333333333,8,2,Tinggi,1,Sedang,0,Rendah
KABUPATEN BEKASI,MUARAGEMBONG,50,8.333333333333334,16,2,Tinggi,1,Sedang,0,Rendah
KABUPATEN BEKASI,PEBAYURAN,63,10.5,12,2,Tinggi,1,Sedang,0,Rendah
KABUPATEN BEKASI,SERANG BARU,10,1.6666666666666667,2,1,Sedang,0,Rendah,0,Rendah
KABUPATEN BEKASI,SETU,33,5.5,8,1,Sedang,1,Sedang,0,Rendah
KABUPATEN BEKASI,SUKAKARYA,27,4.5,6,1,Sedang,0,Rendah,0,Rendah
KABUPATEN BEKASI,SUKATANI,25,4.166666666666667,5,1,Sedang,0,Rendah,0,Rendah
KABUPATEN BEKASI,SUKAWANGI,26,4.333333333333333,6,1,Sedang,0,Rendah,0,Rendah
KABUPATEN BEKASI,TAMBELANG,4,0.6666666666666666,2,1,Sedang,0,Rendah,0,Rendah
KABUPATEN BEKASI,TAMBUN SELATAN,40,6.666666666666667,8,1,Sedang,1,Sedang,0,Rendah
KABUPATEN BEKASI,TAMBUN UTARA,56,9.333333333333334,11,2,Tinggi,1,Sedang,0,Rendah
KABUPATEN BEKASI,TARUMAJAYA,66,11.0,15,2,Tinggi,1,Sedang,0,Rendah
KABUPATEN BOGOR,BABAKAN MADANG,48,8.0,10,2,Tinggi,1,Sedang,0,Rendah
KABUPATEN BOGOR,BOJONG GEDE,388,64.66666666666667,114,0,Rendah,2,Tinggi,-1,Noise/Outlier
KABUPATEN BOGOR,CARINGIN,2,0.3333333333333333,1,1,Sedang,0,Rendah,0,Rendah
KABUPATEN BOGOR,CARIU,12,2.0,2,1,Sedang,0,Rendah,0,Rendah
KABUPATEN BOGOR,CIAMPEA,38,6.333333333333333,8,1,Sedang,1,Sedang,0,Rendah
KABUPATEN BOGOR,CIAWI,35,5.833333333333333,8,1,Sedang,1,Sedang,0,Rendah
KABUPATEN BOGOR,CIBUNGBULANG,52,8.666666666666666,14,2,Tinggi,1,Sedang,0,Rendah
KABUPATEN BOGOR,CIGOMBONG,18,3.0,6,1,Sedang,0,Rendah,0,Rendah
KABUPATEN BOGOR,CIGUDEG,74,12.333333333333334,15,2,Tinggi,1,Sedang,0,Rendah
